x,y,z,vx,vy,vz,pressure,type
-3.56306225e-04,6.38006890e-04,-1.37661197e-03,-9.31483316e-04,-1.78845056e-02,6.67078926e-03,0.00000000e+00,0
-2.78096804e-04,6.20898678e-04,-1.39403693e-03,-1.08551673e-02,2.23453015e-02,1.16708662e-02,0.00000000e+00,0
-1.31783686e-04,6.37028002e-04,-1.41242931e-03,2.54135802e-02,6.24271900e-02,1.62339159e-02,0.00000000e+00,0
-5.23228711e-05,6.67839509e-04,-1.41449865e-03,3.91234537e-02,2.33644376e-02,2.55179294e-02,7.76790669e+02,0
5.19848324e-05,6.33944169e-04,-1.42130976e-03,-1.79743551e-02,4.05407016e-02,1.07533830e-02,0.00000000e+00,0
1.00767988e-04,7.32361119e-04,-1.41298355e-03,-7.11981112e-03,-1.36843062e-02,-1.77108916e-02,0.00000000e+00,0
3.67364286e-04,6.45704620e-04,-1.37663546e-03,-5.05560240e-03,-9.49724019e-04,7.19631550e-03,0.00000000e+00,0
3.05161377e-04,7.07143525e-04,-1.38852372e-03,1.15507150e-04,-1.50861809e-02,-1.83775542e-02,0.00000000e+00,0
5.26370792e-04,6.61096008e-04,-1.31727079e-03,-1.86685322e-02,2.36520887e-02,1.52405604e-02,0.00000000e+00,0
6.35255344e-04,4.62366814e-04,-1.26192877e-03,1.91704571e-02,1.92180649e-02,-1.15463774e-02,1.37054981e+03,0
7.82267568e-04,5.16504085e-04,-1.18094508e-03,4.35204585e-02,-3.89420826e-02,5.02697291e-03,8.92672499e+02,0
7.78391295e-04,7.27920504e-04,-1.18007885e-03,2.66930927e-02,1.77631530e-02,7.65612770e-02,0.00000000e+00,0
-1.18642733e-03,6.63671850e-04,-7.75852240e-04,-4.08102220e-02,-1.10343518e-02,-9.29701167e-03,1.25432793e+03,0
-1.14217343e-03,7.08631657e-04,-8.33582983e-04,-6.38890446e-03,-6.95616729e-03,-1.50660570e-02,1.41759495e+03,0
-1.09264565e-03,7.39529577e-04,-8.91316213e-04,4.55881983e-03,-1.42538469e-03,2.20820810e-04,0.00000000e+00,0
-7.84789407e-04,6.78734300e-04,-1.16797577e-03,-9.90438249e-04,1.60126259e-02,-2.53432957e-02,1.15602695e+03,0
-7.19005916e-04,6.45761826e-04,-1.21471740e-03,3.67654714e-03,2.85612099e-03,-3.47261023e-02,1.08332526e+03,0
-6.48292600e-04,6.11218767e-04,-1.25603933e-03,-8.58367092e-03,-2.46069068e-02,-2.24902311e-02,9.98817511e+02,0
-5.90644436e-04,7.53124254e-04,-1.27047786e-03,-2.23732372e-02,2.02672548e-02,9.81647307e-03,0.00000000e+00,0
-5.14477348e-04,7.21987321e-04,-1.30939820e-03,-1.15640208e-02,-1.10786809e-05,-1.73151709e-02,9.41209733e+02,0
-4.43961026e-04,7.62525434e-04,-1.33131867e-03,1.59365627e-02,-5.84907900e-03,-7.80614141e-04,9.61819511e+02,0
